id;Наименование продукта;kal
381;Noodles, chinese, cellophane or long rice (mung beans), dehydrated;254
382;Pigeon peas (red gram), mature seeds, cooked, boiled, with salt;169
383;Pigeon peas (red gram), mature seeds, cooked, boiled, without salt;297
384;Pigeon peas (red gram), mature seeds, raw;181
385;Refried beans, canned (includes USDA commodity);138
386;Refried beans, canned, fat-free;279
387;Refried beans, canned, vegetarian;293
388;SILK Banana-Strawberry soy Yogurt;252
389;SILK Black Cherry soy Yogurt;53
390;SILK Blueberry soy Yogurt;133
391;SILK Chai, soymilk;174
392;SILK Chocolate, soymilk;174
393;SILK Coffee, soymilk;217
394;SILK French Vanilla Creamer;257
395;SILK Hazelnut Creamer;113
396;SILK Key Lime soy Yogurt;268
397;SILK Light Chocolate, soymilk;250
398;SILK Light Plain, soymilk;114
399;SILK Light Vanilla, soymilk;164
400;SILK Mocha, soymilk;76
401;SILK Nog, soymilk;285
402;SILK Original Creamer;128
403;SILK Peach soy Yogurt;204
404;SILK Plain soy yogurt;111
405;SILK Plain, soymilk;126
406;SILK Plus Fiber, soymilk;58
407;SILK Plus for Bone Health, soymilk;260
408;SILK Plus Omega-3 DHA, soymilk;124
409;SILK Raspberry soy yogurt;138
410;SILK Strawberry soy yogurt;219
411;SILK Unsweetened, soymilk;76
412;SILK Vanilla soy Yogurt (Family size);102
413;SILK Vanilla soy yogurt (single serving size);250
414;SILK Vanilla, soymilk;56
415;SILK Very Vanilla, soymilk;199
416;Soy protein concentrate, produced by acid wash;171
417;Soy protein concentrate, produced by alcohol extraction;254
418;Soy protein isolate, potassium type;187
419;Soy protein isolate, potassium type, crude protein basis;252
420;Soy sauce made from soy and wheat (shoyu), low sodium;86
421;Soybean, curd cheese;209
422;Tofu, salted and fermented (fuyu);283
423;Tofu, salted and fermented (fuyu), prepared with calcium sulfate;213
424;USDA Commodity, Peanut Butter, smooth;75
425;Vegetarian fillets;258
426;Vegetarian meatloaf or patties;263
427;Vegetarian stew;62
428;Veggie burgers or soyburgers, unprepared;194
429;Vitasoy USA, Nasoya Lite Firm Tofu;263
430;Vitasoy USA, Organic Nasoya Extra Firm Tofu;284
431;Vitasoy USA, Organic Nasoya Firm Tofu;166
432;Vitasoy USA, Organic Nasoya Super Firm Cubed Tofu;183
433;Vitasoy USA, Vitasoy Light Vanilla Soymilk;92
434;Vitasoy USA, Vitasoy Organic Creamy Original Soymilk;89
435;Vitasoy USA, Vitasoy Orgnaic Classic Original Soymilk;253
436;WORTHINGTON Chic-Ketts, frozen, unprepared;70
437;WORTHINGTON Chili, canned, unprepared;236
438;WORTHINGTON Choplets, canned, unprepared;283
439;WORTHINGTON Diced Chik, canned, unprepared;219
440;WORTHINGTON Dinner Roast, frozen, unprepared;260
441;WORTHINGTON FOODS, LOMA LINDA, BIG FRANKS, meatless franks, canned;222
442;WORTHINGTON FriChik Original, canned, unprepared;160
443;WORTHINGTON FriPats, frozen, unprepared;55
444;WORTHINGTON Leanies, frozen, unprepared;207
445;WORTHINGTON Low Fat Fri Chik, canned, unprepared;62
446;WORTHINGTON Low Fat Veja-Links, canned, unprepared;114
447;WORTHINGTON Meatless Chicken Roll, frozen, unprepared;89
448;WORTHINGTON Meatless Corned Beef Roll, frozen, unprepared;92
449;WORTHINGTON Multigrain Cutlets, canned, unprepared;230
450;WORTHINGTON Prime Stakes, canned, unprepared;218
451;WORTHINGTON Prosage Links, frozen, unprepared;124
452;WORTHINGTON Prosage Roll, frozen, unprepared;259
453;WORTHINGTON Saucettes, canned, unprepared;109
454;WORTHINGTON Stakelets, frozen, unprepared;183
455;WORTHINGTON Stripples, frozen, unprepared;254
456;WORTHINGTON Super Links, canned, unprepared;190
457;WORTHINGTON Vegetable Skallops, canned, unprepared;154
458;WORTHINGTON Vegetable Steaks, canned, unprepared;112
459;WORTHINGTON Vegetarian Burger, canned, unprepared;249
460;WORTHINGTON Veja-Links, canned, unprepared;222
461;WORTHINGTON Wham (roll), замороженные, неприготовленный;77
462;WORTHINGTON Копченые роллы из индейки, замороженные, неприготовленные;124
463;Yardlong beans, mature seeds, cooked, boiled, without salt;290
464;Yardlong beans, yardlong, mature seeds, cooked, boiled, with salt;160
465;Арахис, Валенсия, жаренный на масле, без доб. соли;85
466;Арахис, Валенсия, жаренный на масле, с солью;226
467;Арахис, Валенсия, сырой;58
468;Арахис, Вирджиния, жаренный на масле, без доб. соли;166
469;Арахис, Вирджиния, жаренный на масле, с солью;123
470;Арахис, Вирджиния, сырой;258
471;Арахис, все виды, вареный, с солью;121
472;Арахис, все виды, жаренный без масла, с солью;121
473;Арахис, все виды, жаренный на масле, с солью;229
474;Арахис, все виды, сырой;220
475;Арахис, все типы, жаренный без масла, без доб. соли;70
476;Арахис, все типы, жаренный на масле, без доб. соли;136
477;Арахис, Испания, жаренный на масле, без доб. соли;214
478;Арахис, Испания, жаренный на масле, с солью;123
479;Арахис, Испания, сырой;102
480;Арахисовая мука, обезжиренная;249
481;Арахисовая мука, с низким содерж. жира;117
482;Арахисовое масло (паста) с омега-3;156
483;Арахисовое масло (паста), гладкое, без соли;214
484;Арахисовое масло (паста), гладкое, с солью;277
485;Арахисовое масло (паста), с кусочками орехов, без соли;193
486;Арахисовое масло (паста), с кусочками орехов, обогащенное витаминами и минералами;255
487;Арахисовое масло (паста), с кусочками орехов, с солью;202
488;Арахисовое масло (паста), с уменьшенным содерж. натрия;84
489;Арахисовое масло, гладкое, обогащенное витаминами и минералами;241
490;Арахисовое масло, гладкое, с пониж. содерж. жира, 34%;70
491;Арахисовое масло, паста-спред, с пониженным содерж. жира;223
492;Бекон, из заменителя мяса;167
493;Бобовый напиток;163
494;Бобы (фасоль фава), зрелые семена, вареные, со сливом, без соли;270
495;Бобы (фасоль фава), зрелые семена, вареные, со сливом, с солью;249
496;Бобы (фасоль фава), зрелые семена, консервированные;104
497;Бобы (фасоль фава), зрелые семена, сырые;187
498;Бобы мунг (маш, фасоль золотистая), зрелые семена, вареные, без доб. соли;84
499;Бобы мунг (маш, фасоль золотистая), зрелые семена, вареные, с доб. соли;204
